anode outlet pressure 1,anode outlet pressure 2,cathode outlet pressure 1,cathode outlet pressure 2, current,anode reactant flow,anode inlet pressure 1,anode inlet pressure 2,cathode air inlet flow, cathode inlet pressure 1,cathode stoichiometry,cathode outlet temperature 2,cathode inlet temperature 2,cathode outlet temperature 1,cathode inlet temperature 1,primary water inlet pressure 2,primary water inlet pressure 1,primary water inlet flow 2,primary water inlet flow 1,water inlet temperature,flag
0,0,700,700,106,284,1792,1784,1692,1252,2.5,75,46,75,47,2048,2012,814,818,29,0
0,0,700,700,0,0,1004,1016,4,1008,0.0,37,44,38,44,996,1000,0,0,33,1
0,0,700,700,0,0,988,996,8,1008,0.0,39,47,39,47,996,1004,0,0,33,1
0,0,700,700,106,284,1792,1788,1688,1252,2.49,75,46,75,47,2044,2012,814,816,29,0
0,0,700,700,106,283,1792,1788,1684,1252,2.49,74,46,75,46,2040,2008,814,812,29,0
0,0,700,700,106,284,1792,1788,1688,1252,2.5,75,46,75,46,2044,2008,814,812,30,0
0,0,700,700,106,283,1792,1788,1688,1252,2.5,75,46,75,46,2040,2008,816,812,30,0
0,0,700,700,0,0,1788,1780,16,1008,0.0,37,43,42,44,1004,1012,0,0,33,1
0,0,700,700,0,0,984,992,8,1008,0.0,39,47,39,47,992,1004,0,0,33,1
0,0,700,700,106,283,1792,1788,1676,1252,2.48,75,46,75,46,2036,2004,816,814,30,0
0,0,700,700,0,0,1000,988,48,1008,0.0,26,52,28,49,1004,1016,0,0,33,1
0,0,700,700,106,283,1792,1788,1680,1252,2.48,75,46,75,46,2040,2004,814,818,29,0
0,0,700,700,0,0,1000,1012,8,1008,0.0,37,45,38,45,992,1004,0,0,33,1
0,0,700,700,106,283,1792,1788,1688,1252,2.49,75,46,75,47,2044,2008,816,818,29,0
0,0,700,700,106,283,1792,1788,1692,1252,2.5,74,46,75,47,2044,2012,814,814,29,0
0,0,700,700,106,283,1792,1788,1688,1252,2.5,75,46,75,47,2040,2008,814,818,29,0
0,0,700,700,106,283,1792,1784,1688,1252,2.5,75,46,75,47,2040,2008,816,814,29,0
0,0,700,700,0,0,1784,1780,12,1008,0.0,28,53,33,53,1004,1012,0,0,33,1
0,0,700,700,0,0,1008,1012,8,1008,0.0,33,49,34,47,996,1004,0,0,33,1
0,0,700,700,106,284,1792,1788,1684,1252,2.49,75,46,75,46,2040,2008,814,816,29,0
0,0,700,700,106,283,1792,1788,1672,1248,2.48,74,46,75,46,2044,2012,816,814,29,0
0,0,700,700,106,283,1792,1788,1680,1252,2.49,74,46,75,46,2048,2008,814,816,29,0
0,0,700,700,106,284,1792,1788,1692,1252,2.5,75,46,75,47,2040,2008,816,812,29,0
0,0,700,700,106,283,1792,1792,1692,1252,2.51,74,46,75,46,2040,2008,814,816,29,0
0,0,700,700,106,283,1792,1788,1680,1252,2.49,75,46,75,46,2040,2004,816,816,30,0
0,0,700,700,106,283,1792,1788,1688,1252,2.49,75,46,75,46,2040,2004,814,814,29,0
0,0,700,700,106,283,1792,1788,1684,1248,2.5,74,46,75,46,2048,2012,812,814,29,0
0,0,700,700,0,0,980,992,8,1008,0.0,39,47,39,47,996,1000,0,0,33,1
0,0,700,700,106,284,1792,1788,1692,1252,2.5,74,46,75,47,2044,2008,816,808,29,0
0,0,700,700,106,283,1792,1788,1676,1252,2.48,75,46,75,47,2036,2004,816,812,30,0
0,0,700,700,106,284,1792,1788,1688,1252,2.49,75,46,75,47,2040,2008,814,816,29,0
0,0,700,700,0,0,984,996,8,1008,0.0,39,47,39,47,996,1000,0,0,33,1
0,0,700,700,106,284,1788,1788,1684,1252,2.49,75,46,75,47,2036,2008,816,816,30,0
0,0,700,700,106,283,1792,1788,1676,1252,2.48,75,46,75,47,2040,2004,814,816,29,0
0,0,700,700,106,283,1792,1784,1680,1252,2.49,75,46,75,46,2036,2008,814,816,30,0
0,0,700,700,106,283,1792,1788,1684,1252,2.49,75,46,75,47,2036,2004,814,818,30,0
0,0,700,700,106,283,1792,1788,1688,1252,2.49,74,46,75,47,2036,2008,814,816,30,0
0,0,700,700,106,283,1792,1788,1680,1252,2.49,74,46,75,47,2040,2008,814,816,29,0
0,0,700,700,106,283,1792,1788,1688,1252,2.5,75,46,75,46,2044,2008,814,816,29,0
0,0,700,700,106,283,1792,1788,1688,1252,2.49,75,46,75,46,2044,2004,814,816,29,0
0,0,700,700,106,283,1792,1788,1684,1252,2.49,74,46,75,46,2040,2012,814,816,29,0
0,0,700,700,106,283,1796,1788,1676,1252,2.48,74,46,75,46,2044,2008,814,818,29,0
0,0,700,700,0,0,992,1004,8,1008,0.0,38,46,39,46,996,1000,0,0,33,1
0,0,700,700,0,0,980,988,8,1008,0.0,39,48,39,47,996,1000,0,0,33,1
0,0,700,700,26,71,1780,1780,1696,1244,10.06,66,45,66,46,1920,1884,814,814,37,1
0,0,700,700,106,283,1792,1788,1676,1248,2.48,75,46,75,46,2040,2004,816,812,30,0
0,0,700,700,106,283,1788,1788,1684,1252,2.49,75,46,75,46,2040,2008,814,816,29,0
0,0,700,700,106,283,1792,1784,1688,1252,2.5,74,46,75,47,2044,2008,814,816,29,0
0,0,700,700,106,283,1792,1788,1684,1252,2.49,75,46,75,46,2040,2004,814,814,29,0
0,0,700,700,106,283,1792,1788,1688,1252,2.5,74,46,75,46,2044,2008,814,812,29,0
0,0,700,700,0,0,996,1008,8,1008,0.0,38,46,39,46,992,1004,0,0,33,1
0,0,700,700,0,0,988,992,8,1008,0.0,39,48,39,47,996,1000,0,0,33,1
0,0,700,700,106,284,1792,1784,1696,1252,2.51,75,46,75,47,2040,2008,816,814,29,0
0,0,700,700,0,0,988,988,8,1008,0.0,39,48,39,47,996,1000,0,0,33,1
0,0,700,700,106,283,1792,1788,1680,1252,2.49,74,46,75,46,2040,2004,814,816,29,0
0,0,700,700,0,0,984,992,8,1008,0.0,39,47,39,47,996,1000,0,0,33,1
0,0,700,700,0,0,1784,1780,8,1008,0.0,32,47,36,50,1004,1016,0,0,33,1
0,0,700,700,106,283,1792,1788,1688,1252,2.49,74,46,75,47,2040,2012,814,814,29,0
0,0,700,700,0,0,980,992,8,1008,0.0,39,48,39,47,996,1000,0,0,33,1
0,0,700,700,0,0,1784,1780,12,1008,0.0,30,51,33,53,1004,1012,0,0,33,1
0,0,700,700,106,283,1792,1788,1684,1252,2.5,74,46,75,46,2048,2016,818,818,29,0
0,0,700,700,106,283,1792,1788,1684,1252,2.49,75,46,75,46,2040,2012,818,816,29,0
0,0,700,700,0,0,980,992,8,1008,0.0,39,47,39,47,996,1000,0,0,33,1
0,0,700,700,0,0,988,1000,8,1008,0.0,38,47,39,47,992,1004,0,0,33,1
